# gapseq version: 1.3.1
# Sequence DB md5sum: b470543 (2026-05-30, Bacteria)
# Genome format: prot
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
DXS-RXN	1-deoxy-D-xylulose-5-phosphate synthase	2.2.1.7/4.1.3.37		UniRef90_A0PT40	38.898	1.59e-145	433	96	NP_414954.1 1-deoxy-D-xylulose-5-phosphate synthase [Escherichia coli str. K-12 substr. MG1655]	19	620	|NONMEVIPP-PWY|	good_blast	full	rxn03909 	NA	0	1
DXS-RXN	1-deoxy-D-xylulose-5-phosphate synthase	2.2.1.7/4.1.3.37		UniRef90_Q8NPB2	36.551	2.47e-139	417	99	NP_414954.1 1-deoxy-D-xylulose-5-phosphate synthase [Escherichia coli str. K-12 substr. MG1655]	11	619	|NONMEVIPP-PWY|	good_blast	full	rxn03909 	NA	0	1
DXS-RXN	1-deoxy-D-xylulose-5-phosphate synthase	2.2.1.7/4.1.3.37		UniRef90_Q83G46	34.984	1.71e-115	355	98	NP_414954.1 1-deoxy-D-xylulose-5-phosphate synthase [Escherichia coli str. K-12 substr. MG1655]	7	617	|NONMEVIPP-PWY|	good_blast	full	rxn03909 	NA	0	1
DXS-RXN	1-deoxy-D-xylulose-5-phosphate synthase	2.2.1.7/4.1.3.37		UniRef90_Q8EWX7	31.929	8.68e-109	337	98	NP_414954.1 1-deoxy-D-xylulose-5-phosphate synthase [Escherichia coli str. K-12 substr. MG1655]	18	617	|NONMEVIPP-PWY|	good_blast	full	rxn03909 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_B4F2C9	66.580	0.0	536	97	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	386	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_Q8EGG9	56.675	2.12e-154	438	100	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	397	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_A1SYV7	55.190	3.39e-150	428	99	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	395	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_B2UB12	55.471	8.61e-144	411	97	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	393	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_Q8KG43	51.918	1.47e-134	387	99	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	391	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_B3EK13	51.282	1.01e-132	383	99	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	390	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_B4S387	51.414	2.78e-132	382	99	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	389	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_B7H1U5	51.646	1.33e-128	373	98	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	2	393	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_Q0TPQ9	45.220	3.88e-119	348	98	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	387	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_Q215E3	47.328	1.43e-116	342	93	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	389	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_Q07NI7	46.565	2.38e-112	332	93	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	389	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_A0Q0R4	42.857	8.86e-113	332	99	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	392	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_B6ISU5	49.492	7.37e-111	328	95	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	393	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_B5YI09	42.132	7.86e-109	322	99	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	393	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_Q1QMN1	45.802	3.37e-108	321	93	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	389	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_Q7NID1	44.051	2.76e-107	318	98	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	395	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_Q0IBN9	45.074	1.01e-105	315	97	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	395	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_C5D9C1	43.223	4.03e-106	315	99	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	390	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_Q01QM3	44.304	8.91e-105	312	97	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	391	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_B1H060	40.665	4.53e-103	307	99	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	391	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_Q72DR3	44.301	5.86e-99	298	92	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	2	386	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_B2V847	39.547	2.26e-95	287	99	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	391	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_Q9AJD7	41.562	2.12e-81	251	99	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	4	391	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_B2HJP9	39.646	4.47e-79	246	93	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	3	395	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_A0QVH7	40.000	2.60e-77	241	94	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	2	393	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_Q6AEY1	39.305	3.09e-77	240	93	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	1	374	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_Q9CBU3	39.747	1.76e-75	237	92	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	3	389	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
DXPREDISOM-RXN	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1.1.1.267		UniRef90_A7H0K4	35.294	1.01e-67	216	98	NP_414715.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Escherichia coli str. K-12 substr. MG1655]	4	391	|NONMEVIPP-PWY|	good_blast	full	rxn03958 rxn34017 	NA	0	1
RXN0-302	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	4.6.1.12		UniRef90_B7MKM0	98.113	8.56e-114	316	100	NP_417226.1 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Escherichia coli str. K-12 substr. MG1655]	1	159	|NONMEVIPP-PWY|	good_blast	full	rxn03910 rxn34020 	NA	0	1
RXN0-302	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	4.6.1.12		UniRef90_A4WDV1	97.484	1.44e-112	313	100	NP_417226.1 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Escherichia coli str. K-12 substr. MG1655]	1	159	|NONMEVIPP-PWY|	good_blast	full	rxn03910 rxn34020 	NA	0	1
RXN0-302	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	4.6.1.12		UniRef90_B0URU8	80.128	5.16e-79	228	96	NP_417226.1 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Escherichia coli str. K-12 substr. MG1655]	1	156	|NONMEVIPP-PWY|	good_blast	full	rxn03910 rxn34020 	NA	0	1
RXN0-302	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	4.6.1.12		UniRef90_A6VQY0	75.159	4.85e-77	223	99	NP_417226.1 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Escherichia coli str. K-12 substr. MG1655]	1	157	|NONMEVIPP-PWY|	good_blast	full	rxn03910 rxn34020 	NA	0	1
RXN0-302	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	4.6.1.12		UniRef90_A3D792	67.949	1.96e-70	207	97	NP_417226.1 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Escherichia coli str. K-12 substr. MG1655]	1	156	|NONMEVIPP-PWY|	good_blast	full	rxn03910 rxn34020 	NA	0	1
RXN0-884	dimethylallyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_P62623	100.000	0.0	645	100	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	316	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
RXN0-884	dimethylallyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_P58680	82.650	0.0	544	100	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	316	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
RXN0-884	dimethylallyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_Q87S87	67.085	3.97e-153	429	100	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	316	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
RXN0-884	dimethylallyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_B8GQR4	60.968	3.80e-141	398	100	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	309	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
RXN0-884	dimethylallyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_Q8D2R2	52.063	5.04e-129	367	100	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	313	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
RXN0-884	dimethylallyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_P0DMK8	54.221	3.08e-117	337	97	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	308	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
RXN0-884	dimethylallyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_A4T986	52.751	1.34e-110	322	92	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	2	309	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
RXN0-884	dimethylallyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_C1A2V7	50.162	1.26e-108	317	91	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	2	309	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
RXN0-884	dimethylallyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_Q73FQ1	51.133	2.39e-107	312	99	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	305	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
RXN0-884	dimethylallyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_Q6ADV0	51.923	1.12e-106	311	92	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	2	312	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
RXN0-884	dimethylallyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_Q6AL80	50.495	4.74e-105	306	96	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	303	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
RXN0-884	dimethylallyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_Q6MC97	48.377	7.43e-100	293	97	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	308	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
ISPH2-RXN	isopentenyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_P62623	100.000	0.0	645	100	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	316	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
ISPH2-RXN	isopentenyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_P58680	82.650	0.0	544	100	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	316	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
ISPH2-RXN	isopentenyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_Q87S87	67.085	3.97e-153	429	100	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	316	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
ISPH2-RXN	isopentenyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_B8GQR4	60.968	3.80e-141	398	100	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	309	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
ISPH2-RXN	isopentenyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_Q8D2R2	52.063	5.04e-129	367	100	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	313	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
ISPH2-RXN	isopentenyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_P0DMK8	54.221	3.08e-117	337	97	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	308	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
ISPH2-RXN	isopentenyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_A4T986	52.751	1.34e-110	322	92	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	2	309	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
ISPH2-RXN	isopentenyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_C1A2V7	50.162	1.26e-108	317	91	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	2	309	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
ISPH2-RXN	isopentenyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_Q73FQ1	51.133	2.39e-107	312	99	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	305	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
ISPH2-RXN	isopentenyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_Q6ADV0	51.923	1.12e-106	311	92	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	2	312	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
ISPH2-RXN	isopentenyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_Q6AL80	50.495	4.74e-105	306	96	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	303	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
ISPH2-RXN	isopentenyl-diphosphate:NAD(P)+ oxidoreductase	1.17.7.4/1.17.1.2		UniRef90_Q6MC97	48.377	7.43e-100	293	97	NP_414570.1 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Escherichia coli str. K-12 substr. MG1655]	1	308	|NONMEVIPP-PWY|	good_blast	full	rxn04113 rxn04996 rxn08352 rxn08756 rxn19954 rxn19956 rxn19957 rxn26478 rxn26481 rxn27475 rxn27478 rxn38843 rxn38844 	NA	0	1
2.7.1.148-RXN	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	2.7.1.148		UniRef90_Q6LNB1	63.441	2.05e-115	331	92	NP_415726.1 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Escherichia coli str. K-12 substr. MG1655]	2	278	|NONMEVIPP-PWY|	good_blast	full	rxn03908 rxn34019 	NA	0	1
2.7.1.148-RXN	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	2.7.1.148		UniRef90_Q8DFF6	61.429	2.62e-111	320	94	NP_415726.1 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Escherichia coli str. K-12 substr. MG1655]	3	282	|NONMEVIPP-PWY|	good_blast	full	rxn03908 rxn34019 	NA	0	1
2.7.1.148-RXN	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	2.7.1.148		UniRef90_A3D0F8	54.909	5.38e-97	284	95	NP_415726.1 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Escherichia coli str. K-12 substr. MG1655]	5	278	|NONMEVIPP-PWY|	good_blast	full	rxn03908 rxn34019 	NA	0	1
2.7.1.148-RXN	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	2.7.1.148		UniRef90_Q2SLA0	54.874	1.13e-94	278	94	NP_415726.1 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Escherichia coli str. K-12 substr. MG1655]	7	278	|NONMEVIPP-PWY|	good_blast	full	rxn03908 rxn34019 	NA	0	1
2.7.1.148-RXN	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	2.7.1.148		UniRef90_Q0AC00	53.091	2.88e-89	264	92	NP_415726.1 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Escherichia coli str. K-12 substr. MG1655]	4	278	|NONMEVIPP-PWY|	good_blast	full	rxn03908 rxn34019 	NA	0	1
2.7.1.148-RXN	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	2.7.1.148		UniRef90_Q3IK98	49.275	1.04e-82	247	95	NP_415726.1 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Escherichia coli str. K-12 substr. MG1655]	7	282	|NONMEVIPP-PWY|	good_blast	full	rxn03908 rxn34019 	NA	0	1
